,GEO_ID,value,MarginOfError,state,county,tract,variable_code,variable_name,variable_category,year_sample
81,1400000US06061023000,138,62,06,061,023000,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
82,1400000US06061023100,240,103,06,061,023100,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
83,1400000US06061023200,319,119,06,061,023200,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
84,1400000US06061023300,253,102,06,061,023300,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
85,1400000US06061023400,150,75,06,061,023400,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
86,1400000US06061023501,3,7,06,061,023501,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
87,1400000US06061023502,269,132,06,061,023502,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
88,1400000US06061023600,6,12,06,061,023600,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
89,1400000US06061023700,0,13,06,061,023700,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
90,1400000US06061023800,0,13,06,061,023800,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
91,1400000US06061023900,94,42,06,061,023900,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
92,1400000US06061990000,0,13,06,061,990000,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
1,1400000US32005001000,70,45,32,005,001000,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
2,1400000US32005001100,166,115,32,005,001100,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
3,1400000US32005001200,183,82,32,005,001200,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
4,1400000US32005001300,15,23,32,005,001300,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
5,1400000US32005001400,76,62,32,005,001400,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
6,1400000US32005001500,174,107,32,005,001500,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
7,1400000US32005001600,7,11,32,005,001600,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
8,1400000US32005001700,60,39,32,005,001700,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
9,1400000US32005001800,72,52,32,005,001800,"B01001_037E,B01001_037M",Female: 35 to 39 years,Age,2022
