GEO_ID,value,state,MarginOfError,county,sample_level,Geo_Name,variable_code,variable_name,variable_category,year_sample,dataset,census_geom_year,TRPAID
32031,2357,32,,031,County,Washoe County,P012032,Female: 20 years,Age,2000,dec/sf1,2000,320312000
32510,278,32,,510,County,Carson City County,P012032,Female: 20 years,Age,2000,dec/sf1,2000,325102000
06000,232201,06,,000,State,CA,P012032,Female: 20 years,Age,2000,dec/sf1,2000,060002000
32000,12081,32,,000,State,NV,P012032,Female: 20 years,Age,2000,dec/sf1,2000,320002000
06017,602,06,,017,County,El Dorado County,P012033,Female: 21 years,Age,2000,dec/sf1,2000,060172000
06061,1015,06,,061,County,Placer County,P012033,Female: 21 years,Age,2000,dec/sf1,2000,060612000
32005,118,32,,005,County,Douglas County,P012033,Female: 21 years,Age,2000,dec/sf1,2000,320052000
32031,2340,32,,031,County,Washoe County,P012033,Female: 21 years,Age,2000,dec/sf1,2000,320312000
32510,252,32,,510,County,Carson City County,P012033,Female: 21 years,Age,2000,dec/sf1,2000,325102000
06000,223100,06,,000,State,CA,P012033,Female: 21 years,Age,2000,dec/sf1,2000,060002000
32000,11936,32,,000,State,NV,P012033,Female: 21 years,Age,2000,dec/sf1,2000,320002000
06017,1865,06,,017,County,El Dorado County,P012034,Female: 22 to 24 years,Age,2000,dec/sf1,2000,060172000
06061,2999,06,,061,County,Placer County,P012034,Female: 22 to 24 years,Age,2000,dec/sf1,2000,060612000
32005,396,32,,005,County,Douglas County,P012034,Female: 22 to 24 years,Age,2000,dec/sf1,2000,320052000
32031,6723,32,,031,County,Washoe County,P012034,Female: 22 to 24 years,Age,2000,dec/sf1,2000,320312000
32510,766,32,,510,County,Carson City County,P012034,Female: 22 to 24 years,Age,2000,dec/sf1,2000,325102000
06000,680457,06,,000,State,CA,P012034,Female: 22 to 24 years,Age,2000,dec/sf1,2000,060002000
32000,37976,32,,000,State,NV,P012034,Female: 22 to 24 years,Age,2000,dec/sf1,2000,320002000
06017,3306,06,,017,County,El Dorado County,P012035,Female: 25 to 29 years,Age,2000,dec/sf1,2000,060172000
06061,6440,06,,061,County,Placer County,P012035,Female: 25 to 29 years,Age,2000,dec/sf1,2000,060612000
32005,825,32,,005,County,Douglas County,P012035,Female: 25 to 29 years,Age,2000,dec/sf1,2000,320052000
32031,11318,32,,031,County,Washoe County,P012035,Female: 25 to 29 years,Age,2000,dec/sf1,2000,320312000
32510,1393,32,,510,County,Carson City County,P012035,Female: 25 to 29 years,Age,2000,dec/sf1,2000,325102000
06000,1232096,06,,000,State,CA,P012035,Female: 25 to 29 years,Age,2000,dec/sf1,2000,060002000
32000,71492,32,,000,State,NV,P012035,Female: 25 to 29 years,Age,2000,dec/sf1,2000,320002000
06017,4480,06,,017,County,El Dorado County,P012036,Female: 30 to 34 years,Age,2000,dec/sf1,2000,060172000
06061,8480,06,,061,County,Placer County,P012036,Female: 30 to 34 years,Age,2000,dec/sf1,2000,060612000
32005,1182,32,,005,County,Douglas County,P012036,Female: 30 to 34 years,Age,2000,dec/sf1,2000,320052000
32031,12174,32,,031,County,Washoe County,P012036,Female: 30 to 34 years,Age,2000,dec/sf1,2000,320312000
32510,1528,32,,510,County,Carson City County,P012036,Female: 30 to 34 years,Age,2000,dec/sf1,2000,325102000
06000,1303166,06,,000,State,CA,P012036,Female: 30 to 34 years,Age,2000,dec/sf1,2000,060002000
32000,74832,32,,000,State,NV,P012036,Female: 30 to 34 years,Age,2000,dec/sf1,2000,320002000
06017,6681,06,,017,County,El Dorado County,P012037,Female: 35 to 39 years,Age,2000,dec/sf1,2000,060172000
06061,10713,06,,061,County,Placer County,P012037,Female: 35 to 39 years,Age,2000,dec/sf1,2000,060612000
